Option_Simplified,Option_STD,COUNT_ALL
BLUETOOTH CONNECTION,BLUETOOTH CONNECTION,9316
POWER DRIVER SEAT,POWER DRIVER SEAT,8248
POWER PASSENGER SEAT,POWER PASSENGER SEAT,5441
BUCKET SEATS,BUCKET SEATS,11834
DRIVER ADJUSTABLE LUMBAR,DRIVER ADJUSTABLE LUMBAR,8951
PASSENGER ADJUSTABLE LUMBAR,PASSENGER ADJUSTABLE LUMBAR,3207
SEAT MEMORY,SEAT MEMORY,3931
PREMIUM SYNTHETIC SEATS,PREM SYNTHETIC SEATS,1209
PASS-THROUGH REAR SEAT,PASS-THROUGH REAR SEAT,10648
REAR BUCKET SEATS,REAR BUCKET SEATS,610
HEATED FRONT SEAT(S),HEATED FRONT SEAT,4265
FLOOR MATS,FLOOR MATS,11977
ADJUSTABLE STEERING WHEEL,ADJUSTABLE STEERING WHEEL,15292
STEERING WHEEL AUDIO CONTROLS,STEERING WHEEL AUDIO CONTROLS,11599
POWER WINDOWS,POWER WINDOWS,14568
KEYLESS ENTRY,KEYLESS ENTRY,13759
POWER DOOR LOCKS,POWER DOOR LOCKS,14561
REMOTE TRUNK RELEASE,REMOTE TRUNK RELEASE,5855
POWER LIFTGATE,POWER LIFTGATE,1089
UNIVERSAL GARAGE DOOR OPENER,UNIVERSAL GARAGE DOOR OPENER,4482
CRUISE CONTROL,CRUISE CONTROL,14440
SECURITY SYSTEM,SECURITY SYS,9089
ENGINE IMMOBILIZER,ENGINE IMMOBILIZER,13116
CLIMATE CONTROL,CLIMATE CONTROL,6978
MULTI-ZONE A/C,MULTI-ZONE A/C,6504
REAR DEFROST,REAR DEFROST,12135
POWER OUTLET,POWER OUTLET,13507
DRIVER VANITY MIRROR,DRIVER VANITY MIRROR,12550
PASSENGER VANITY MIRROR,PASSENGER VANITY MIRROR,14287
FRONT READING LAMPS,FRONT READING LAMPS,9508
ABS,ABS,15311
STABILITY CONTROL,STABILITY CONTROL,14522
BRAKE ASSIST,BRAKE ASSIST,7235
DAYTIME RUNNING LIGHTS,DAYTIME RUNNING LIGHTS,7694
PASSENGER AIR BAG SENSOR,PASSENGER AIR BAG SENSOR,10853
REAR SIDE AIR BAG,REAR SIDE AIR BAG,1522
REAR PARKING AID,REAR PARKING AID,2955
CHILD SAFETY LOCKS,CHILD SAFETY LOCKS,10740
EMERGENCY TRUNK RELEASE,EMERGENCY TRUNK RELEASE,4768
TIRE PRESSURE MONITOR,TIRE PRESSURE MONITOR,14669
(2) CHROME DOOR HANDLE INSERTS,(2) CHROME DOOR HANDLE INSERTS,1
(2) ILLUMINATED DOOR SILLS,(2) ILLUMINATED DOOR SILLS,3
20 10-SPOKE ALUMINUM WHEELS,20 10-SPOKE ALUMINUM WHEELS,3
AUBERGINE/BLACK PREMIUM LEATHER SEAT TR,AUBERGINE/BLACK PREM LEATHER S,3
DESIGNO PLATINUM BLACK METALLIC,DESIGNO PLATINUM BLACK METALLI,2
DRIVER ASSISTANCE PKG -INC: DISTRONIC P,DRIVER ASSISTANCE PKG -INC,13
PREMIUM 2 PKG -INC: REARVIEW MONITOR N,PREM 2 PKG -INC,3
SPLITVIEW FRONT ENTERTAINMENT SYSTEM -I,SPLITVIEW FRONT ENTERTAINMENT ,5
TURBOCHARGED,TURBOCHARGED,2388
INTEGRATED TURN SIGNAL MIRRORS,INTEGRATED TURN SIGNAL MIRRORS,4264
POWER FOLDING MIRRORS,POWER FOLDING MIRRORS,1887
CD CHANGER,CD CHANGER,1397
PREMIUM SOUND SYSTEM,PREM SOUND SYS,4220
SATELLITE RADIO,SATELLITE RADIO,8248
HD RADIO,HD RADIO,2728
LEATHER SEATS,LEATHER SEATS,5116
COOLED FRONT SEAT(S),COOLED FRONT SEAT,1114
LEATHER STEERING WHEEL,LEATHER STEERING WHEEL,9481
KEYLESS START,KEYLESS START,2852
HARD DISK DRIVE MEDIA STORAGE,HARD DISK DRIVE MEDIA STORAGE,806
WOODGRAIN INTERIOR TRIM,WOODGRAIN INTERIOR TRIM,2894
DRIVER ILLUMINATED VANITY MIRROR,DRIVER ILLUMINATED VANITY MIRR,9612
PASSENGER ILLUMINATED VISOR MIRROR,PASSENGER ILLUMINATED VISOR MI,9614
FRONT SIDE AIR BAG,FRONT SIDE AIR BAG,2844
FRONT HEAD AIR BAG,FRONT HEAD AIR BAG,4364
REAR HEAD AIR BAG,REAR HEAD AIR BAG,5405
TELEMATICS,TELEMATICS,6741
(2) FRONT TOW HOOKS,(2) FRONT TOW HOOKS,1
(4) CAST ALUMINUM WHEELS,(4) CAST ALUMINUM WHEELS,1
(5) P255/70R16 ALL-SEASON SBR BSW TIRES,(5) P255/70R16 ALL-SEASON SBR ,1
3.42 AXLE RATIO,3.42 AXLE RATIO,2
5.3L (325) SFI V8 (VORTEC) ENGINE,5.3L (325) SFI V8 (VORTEC) ENG,1
CHROME STYLED STEEL WHEELS (STD),CHROME STYLED STEEL WHEELS (ST,1
ETR AM/FM STEREO W/CASSETTE AUTO TONE CO,ETR AM/FM STEREO,1
FRONT FOG LAMPS,FRONT FOG LAMPS,18
HD TRAILERING SPECIAL EQUIPMENT -INC: W,HD TRAILERING SPECIAL EQUIPMEN,1
HIGH-CAPACITY AIR CLEANER,HIGH-CAPACITY AIR CLEANER,1
LOCKING DIFFERENTIAL -INC: PREMIUM CARB,LOCKING DIFFERENTIAL -INC,1
SOLAR-RAY DEEP TINTED GLASS *REAR WINDO,SOLAR-RAY DEEP TINTED GLASS *R,1
REAR WHEEL DRIVE,REAR WHEEL DRIVE,4678
TIRES - FRONT ALL-SEASON,TIRES - FRONT ALL-SEASON,7480
TIRES - REAR ALL-SEASON,TIRES - REAR ALL-SEASON,7475
CONVENTIONAL SPARE TIRE,CONVENTIONAL SPARE TIRE,4979
CHROME WHEELS,CHROME WHEELS,939
CLOTH SEATS,CLOTH SEATS,7389
SPLIT BENCH SEAT,SPLIT BENCH SEAT,3039
A/C,A/C,8774
DRIVER AIR BAG,DRIVER AIR BAG,2223
PASSENGER AIR BAG,PASSENGER AIR BAG,2217
PASSENGER AIR BAG ON/OFF SWITCH,PASSENGER AIR BAG ON/OFF SWITC,842
DESIGNO MAGNO CASHMERE WHITE MATTE,DESIGNO MAGNO CASHMERE WHITE M,1
GRAND EDITION PKG -INC: DESIGNO LEATHER,GRAND EDITION PKG -INC,2
(2) WIRELESS HEADPHONES,(2) WIRELESS HEADPHONES,1
JBL AM/FM STEREO W/6-DISC IN-DASH CD CHA,JBL AM/FM STEREO,1
PREFERRED ACCESSORY PKG -INC: CARPETED,PREFERRED ACCESSORY PKG -INC,1
REAR SEAT ENTERTAINMENT SYSTEM -INC: 9,REAR SEAT ENTERTAINMENT SYS -I,4
REMOTE ENGINE START,REMOTE ENGINE START,1844
RUNNING BOARDS,RUNNING BOARDS,45
SAND BEIGE LEATHER SEAT TRIM,SAND BEIGE LEATHER SEAT TRIM,1
SIZZLING CRIMSON MICA,SIZZLING CRIMSON MICA,1
FOUR WHEEL DRIVE,FOUR WHEEL DRIVE,2895
PRIVACY GLASS,PRIVACY GLASS,5915
REAR BENCH SEAT,REAR BENCH SEAT,11519
3RD ROW SEAT,3RD ROW SEAT,1538
BACK-UP CAMERA,BACK-UP CAMERA,2596
REAR A/C,REAR A/C,2832
REAR READING LAMPS,REAR READING LAMPS,4354
CARGO SHADE,CARGO SHADE,1504
(28) GALLON MID-SHIP FUEL TANK,(28) GAL MID-SHIP FUEL TANK,2
200-AMP EXTRA HD ALTERNATOR,200-AMP EXTRA HD ALTERNATOR,3
2-TON HYDRAULIC JACK,2-TON HYDRAULIC JACK,2
3.73 AXLE RATIO,3.73 AXLE RATIO,123
6.7L OHV 32-VALVE V8 POWER STROKE DIESEL,6.7L OHV 32-VALVE V8 POWER STR,9
AIR CONDITIONING DELETE PROCESSING CODE,AIR CONDITIONING DELETE PROCES,66
LT245/75R17E ALL-SEASON BSW TIRES (STD),LT245/75R17E ALL-SEASON BSW TI,2
OXFORD WHITE,OXFORD WHITE,329
PAYLOAD DOWNGRADE PKG -INC: 9 800 GVWR,PAYLOAD DOWNGRADE PKG -INC,2
TORQSHIFT 6-SPEED SELECTSHIFT AUTOMATIC,TORQSHIFT 6-SPEED SELECTSHIFT ,57
TRAILER TOW PKG -INC: TRAILER BRAKE WIR,TRAILER TOW PKG -INC,2
XL SERIES ORDER CODE,XL SERIES ORDER CODE,71
TOW HOOKS,TOW HOOKS,2520
STEEL WHEELS,STEEL WHEELS,2480
VINYL SEATS,VINYL SEATS,871
(3) REAR SEATS,(3) REAR SEATS,5
20-WAY POWER MULTI-CONTOUR FRONT BUCKET,20-WAY POWER MULTI-CONTOUR FRO,22
ALPINE WHITE,ALPINE WHITE,30
BMW APPS -INC: SMARTPHONE INTEGRATION,BMW APPS -INC,129
COLD WEATHER PKG -INC: HEATED STEERING,COLD WEATHER PKG -INC,46
DARK BAMBOO WOOD INTERIOR TRIM,DARK BAMBOO WOOD INTERIOR TRIM,4
FULL LED LIGHTS,FULL LED LIGHTS,4
M PERFORMANCE PKG -INC: 20 X 10.0,M PERF PKG -INC,4
PREMIUM PKG -INC: UNIVERSAL GARAGE DOOR,PREM PKG -INC,28
PREMIUM SOUND PKG -INC: PREMIUM HIGH-FI,PREM SOUND PKG -INC,6
SOFT-CLOSE AUTOMATIC DOOR OPERATION,SOFT-CLOSE AUTOMATIC DOOR OPER,6
SPACE-SAVER SPARE TIRE,SPACE-SAVER SPARE TIRE,1
TECHNOLOGY PKG -INC: AUTOMATIC HIGH BEA,TECH -INC,4
HEADLIGHTS-AUTO-LEVELING,HEADLIGHTS-AUTO-LEVELING,870
ROLLOVER PROTECTION BARS,ROLLOVER PROTECTION BARS,696
CARBON BLACK METALLIC,CARBON BLACK METALLIC,25
OYSTER NEVADA LEATHER SEAT TRIM,OYSTER NEVADA LEATHER SEAT TRI,9
BLACK SAPPHIRE METALLIC,BLACK SAPPHIRE METALLIC,27
SADDLE BROWN NEVADA LEATHER SEAT TRIM,SADDLE BROWN NEVADA LEATHER SE,1
BLACK PERFORATED NEVADA LEATHER SEAT TR,BLACK PERFORATED NEVADA LEATHE,1
LUXURY SEATING PKG -INC: ACTIVE DRIVER,LUX SEATING PKG -INC,1
PREMIUM PKG -INC: COMFORT ACCESS KEYLES,PREM PKG -INC,32
SPORT ACTIVITY PKG -INC: 19 STAR-SPO,SPT ACTIVITY PKG -INC,3
(32) GALLON FUEL TANK,(32) GAL FUEL TANK,123
20 X 9 CHROME CLAD ALUMINUM WHEELS,20 X 9 CHROME CLAD ALUMINUM WH,5
25C EXPRESS CUSTOMER PREFERRED ORDER SE,25C EXPRESS CUSTOMER PREFERRED,40
5.7L V8 HEMI MULTI-DISPLACEMENT VVT ENGI,5.7L V8 HEMI MULTI-DISPLACEMEN,343
6-SPEED AUTOMATIC TRANSMISSION -INC: TI,6-SPEED AUTOMATIC TRANSMISSION,423
ANTI-SPIN DIFFERENTIAL REAR AXLE,ANTI-SPIN DIFFERENTIAL REAR AX,305
BLACK PWR HEATED TRAILER TOW MIRRORS -I,BLACK PWR HEATED TRAILER TOW M,9
BRIGHT WHITE,BRIGHT WHITE,443
PARKVIEW REAR BACK-UP CAMERA -INC: AUTO,PARKVIEW REAR BACK-UP CAMERA -,104
POPULAR EQUIPMENT GROUP -INC: CLOTH 40/,POPULAR EQUIPMENT GROUP -INC,378
TRAILER BRAKE CONTROL,TRAILER BRAKE CONTROL,248
WHEEL LOCKS,WHEEL LOCKS,507
23B TRADESMAN CUSTOMER PREFERRED ORDER,23B TRADESMAN CUSTOMER PREFERR,1
4.7L V8 FLEX-FUEL ENGINE (STD),4.7L V8 FLEX-FUEL ENGINE (STD),82
6-SPEED AUTOMATIC TRANSMISSION (STD),6-SPEED AUTOMATIC TRANSMISSION,30
PROTECTION GROUP -INC: FRONT TOW HOOKS,PROTECTION GROUP -INC,23
RAMBOX CARGO MANAGEMENT SYSTEM -INC: (2,RAMBOX CARGO MANAGEMENT SYS -I,10
ST POPULAR EQUIPMENT GROUP -INC: CLOTH,ST POPULAR EQUIPMENT GROUP -IN,3
TRAILER BRAKE CONTROL GROUP -INC: TRAIL,TRAILER BRAKE CONTROL GROUP -I,15
UCONNECT HANDS-FREE COMMUNICATION W/VOIC,UCONNECT HANDS-FREE COMMUNICAT,17
TOW HITCH,TOW HITCH,2286
BED LINER,BED LINER,205
ADD CLASS IV RECEIVER HITCH,ADD CLASS IV RECEIVER HITCH,21
3.92 AXLE RATIO,3.92 AXLE RATIO,105
MINERAL GRAY METALLIC,MINERAL GRAY METALLIC,78
BLACK,BLACK,361
ADD SPRAY IN BEDLINER,ADD SPRAY IN BEDLINER,1
BRIGHT SILVER METALLIC,BRIGHT SILVER METALLIC,70
TRUE BLUE PEARL,TRUE BLUE PEARL,41
MAXIMUM STEEL METALLIC,MAXIMUM STEEL METALLIC,48
25Y LONE STAR CUSTOMER PREFERRED ORDER,25Y LONE STAR CUSTOMER PREFERR,33
LUXURY GROUP -INC: PWR FOLDING HEATED A,LUX GROUP -INC,31
PARKSENSE REAR PARKING ASSIST SYSTEM,PARKSENSE REAR PARKING ASSIST ,28
REMOTE START & SECURITY GROUP -INC: REM,REMOTE START & SECURITY GROUP ,17
SPRAY IN BEDLINER,SPRAY IN BEDLINER,5
UCONNECT 8.4A -INC: AM/FM STEREO 8.4,UCONNECT 8.4A -INC,93
WHEEL TO WHEEL SIDE STEPS,WHEEL TO WHEEL SIDE STEPS,14
SLIDING REAR WINDOW,SLIDING REAR WINDOW,844
DEEP CHERRY RED CRYSTAL PEARL,DEEP CHERRY RED CRYSTAL PEARL,81
COMFORT GROUP -INC: HEATED FRONT SEATS,COMFORT GROUP -INC,12
PRAIRIE PEARL,PRAIRIE PEARL,1
UCONNECT 8.4AN -INC: AM/FM STEREO 8.4,UCONNECT 8.4AN -INC,38
(9) AMPLIFIED SPEAKERS W/SUBWOOFER,(9) AMPLIFIED SPEAKERS,6
CHROME TUBULAR SIDE STEPS,CHROME TUBULAR SIDE STEPS,12
22B TRADESMAN CUSTOMER PREFERRED ORDER S,22B TRADESMAN CUSTOMER PREFERR,11
3.6L 24-VALVE VVT V6 FLEX-FUEL ENGINE -,3.6L 24-VALVE VVT V6 FLEX-FUEL,11
8-SPEED AUTOMATIC TRANSMISSION -INC: AC,8-SPEED AUTOMATIC TRANSMISSION,13
BLACK/DIESEL GRAY INTERIOR CLOTH 40/20/,BLACK/DIESEL GRAY INTERIOR CLO,4
23B TRADESMAN CUSTOMER PREFERRED ORDER S,23B TRADESMAN CUSTOMER PREFERR,80
EXTERIOR APPEARANCE GROUP -INC: 17 X,EXTERIOR APPEARANCE GROUP -INC,48
LT265/70R17E ON/OFF ROAD OWL TIRES,LT265/70R17E ON/OFF ROAD OWL T,13
25A ST CUSTOMER PREFERRED ORDER SELECTIO,25A ST CUSTOMER PREFERRED ORDE,1
CLASS IV RECEIVER HITCH,CLASS IV RECEIVER HITCH,17
FRONT/REAR RUBBER FLOOR MATS,FRONT/REAR RUBBER FLOOR MATS,2
25B TRADESMAN CUSTOMER PREFERRED ORDER S,25B TRADESMAN CUSTOMER PREFERR,23
CARPET DELETE,CARPET DELETE,61
UCONNECT 5.0 -INC: AM/FM STEREO 5 T,UCONNECT 5.0 -INC,51
25H LARAMIE CUSTOMER PREFERRED ORDER SEL,25H LARAMIE CUSTOMER PREFERRED,4
CONVENIENCE GROUP -INC: KEYLESS ENTER ',CONVENIENCE GROUP -INC,17
REMOTE CD PLAYER,REMOTE CD PLAYER,7
TWO-TONE LOWER PAINT,TWO-TONE LOWER PAINT,9
ADJUSTABLE PEDALS,ADJUSTABLE PEDALS,1427
PWR SUNROOF,PWR SUN,76
REMOTE START,REMOTE START,14
25L SPORT CUSTOMER PREFERRED ORDER SELEC,25L SPT CUSTOMER PREFERRED ORD,5
PARKVIEW REAR BACK-UP CAMERA,PARKVIEW REAR BACK-UP CAMERA,9
PWR ADJUSTABLE PEDALS,PWR ADJUSTABLE PEDALS,14
REAR WINDOW DEFROSTER,REAR WINDOW DEFROSTER,94
SPORT PERFORMANCE HOOD,SPT PERF HOOD,4
SPORT PREMIUM GROUP -INC: (9) AMPLIFIED,SPT PREM GROUP -INC,5
MOPAR CHROME TUBULAR SIDE STEPS,MOPAR CHROME TUBULAR SIDE STEP,11
UCONNECT 730N -INC: AM/FM STEREO W/CD/,UCONNECT 730N -INC,18
UCONNECT 430N -INC: AM/FM STEREO W/CD/,UCONNECT 430N -INC,39
BLACK/DIESEL GRAY INTERIOR PREMIUM CLOT,BLACK/DIESEL GRAY INTERIOR PRE,1
(4) 17 FORGED POLISHED ALUMINUM WHEELS,(4) 17 FORGED POLISHED ALUMINU,1
(4) LT265/70R17E OWL ALL-SEASON TIRES W/,(4) LT265/70R17E OWL ALL-SEASO,1
(5) LT265/70R17E BSW ALL-SEASON TIRES (,(5) LT265/70R17E BSW ALL-SEASO,1
6.0L DI V8 TURBO-DIESEL POWER STROKE,6.0L DI V8 TURBO-DIESEL POWER ,1
6-WAY PWR DRIVER SEAT,6-WAY PWR DRIVER SEAT,3
CHROME PKG -INC: UNIQUE CHROME BILLET-,CHROME PKG -INC,1
CHROME TUBULAR CAB STEPS,CHROME TUBULAR CAB STEPS,1
CLASS V TRAILER HITCH RECEIVER -INC: 2,CLASS V TRAILER HITCH RECEIVER,1
CLOTH TWO-TONE CAPTAIN CHAIRS W/CONSOLE,CLOTH TWO-TONE CAPTAIN CHAIRS,1
ENGINE BLOCK HEATER,ENGINE BLOCK HEATER,147
FX4 OFF-ROAD PKG -INC: SKID PLATES ON T,FX4 OFF-ROAD PKG -INC,1
TORQSHIFT 5-SPEED AUTOMATIC TRANSMISSION,TORQSHIFT 5-SPEED AUTOMATIC TR,1
TOWCOMMAND INTEGRATED TRAILER BRAKE CONT,TOWCOMMAND INTEGRATED TRAILER ,1
8.5 FOOT WESTERN V-PLOW,8.5 FOOT WESTERN V-PLOW,1
SIDE WINDOW DEFLECTORS,SIDE WINDOW DEFLECTORS,7
THIRD PASSENGER DOOR,THIRD PASSENGER DOOR,1590
FOURTH PASSENGER DOOR,FOURTH PASSENGER DOOR,1579
(4) 18 CAST ALUMINUM WHEELS -INC: BRI,(4) 18 CAST ALUMINUM WHEELS -I,14
(4) UPFITTER SWITCHES -INC: SWITCHES LO,(4) UPFITTER SWITCHES -INC,142
(5) LT275/70R18E ALL-TERRAIN BSW TIRES,(5) LT275/70R18E ALL-TERRAIN B,30
3.55 AXLE RATIO W/ELECTRONIC LOCKING REA,3.55 AXLE RATIO,138
5 CHROME TUBULAR STEP BARS,5 CHROME TUBULAR STEP BARS,79
6.7L 32-VALVE PWR STROKE V8 DIESEL ENGI,6.7L 32-VALVE PWR STROKE V8 DI,206
ADOBE CLOTH 40/20/40 SPLIT BENCH FRONT,ADOBE CLOTH 40/20/40 SPLIT BEN,63
CAMPER PKG -INC: HEAVY SERVICE FRONT SP,CAMPER PKG -INC,56
ELECTRIC SHIFT-ON-THE-FLY TRANSFER CASE,ELECTRIC SHIFT-ON-THE-FLY TRAN,83
EXTRA HD 200-AMP ALTERNATOR,EXTRA HD 200-AMP ALTERNATOR,56
FX4 OFF ROAD PKG -INC: HILL DESCENT CO,FX4 OFF ROAD PKG -INC,139
HEATED BACKLIGHT/REAR WINDOW DEFROST,HEATED BACKLIGHT/REAR WINDOW D,1
POWERSCOPE PWR TELESCOPING & FOLDING HEA,POWERSCOPE PWR TELESCOPING & F,33
PWR SLIDING REAR WINDOW W/DEFROSTER -IN,PWR SLIDING REAR WINDOW,1
REAR VIEW CAMERA -INC: ELECTROCHROMIC R,REAR VIEW CAMERA -INC,9
REMOTE START SYSTEM,REMOTE START SYS,32
SIRIUS SATELLITE RADIO,SIRIUS SATELLITE RADIO,57
TORQSHIFT 6-SPEED AUTOMATIC TRANSMISSION,TORQSHIFT 6-SPEED AUTOMATIC TR,197
TUXEDO BLACK METALLIC,TUXEDO BLACK METALLIC,326
XLT SERIES ORDER CODE,XLT SERIES ORDER CODE,66
XLT VALUE PKG -INC: 6-WAY PWR DRIVER SE,XLT VALUE PKG -INC,29
(5) LT275/70R18E ALL-TERRAIN OWL TIRES,(5) LT275/70R18E ALL-TERRAIN O,38
3.73 AXLE RATIO W/ELECTRONIC LOCKING REA,3.73 AXLE RATIO,65
6.2L SOHC 16-VALVE EFI NA V8 FLEX-FUEL E,6.2L SOHC 16-VALVE EFI NA V8 F,87
ALL-WEATHER FRONT/REAR FLOOR MATS,ALL-WEATHER FRONT/REAR FLOOR M,40
BODYSIDE MOLDING,BODYSIDE MOLDING,50
TAILGATE STEP -INC: STEP & HANDLE,TAILGATE STEP -INC,40
(4) UPFITTER SWITCHES,(4) UPFITTER SWITCHES,81
(5) LT275/65R18E ALL-SEASON BSW TIRES,(5) LT275/65R18E ALL-SEASON BS,1
3.31 AXLE RATIO W/ELECTRONIC LOCKING REA,3.31 AXLE RATIO,68
TAILGATE STEP -INC: STEP HANDLE,TAILGATE STEP -INC,25
INGOT SILVER METALLIC,INGOT SILVER METALLIC,254
STERLING GRAY METALLIC,STERLING GRAY METALLIC,166
(4) 20 CHROME-CLAD CAST ALUMINUM WHEEL,(4) 20 CHROME-CLAD CAST ALUMIN,35
(4) LT275/65R20E ALL-TERRAIN OWL TIRES,(4) LT275/65R20E ALL-TERRAIN O,105
KING RANCH W/CHROME PKG -INC: PALE ADO,KING RANCH,28
RUNNING BOARDS/SIDE STEPS,RUNNING BOARDS/SIDE STEPS,1295
NAVIGATION FROM TELEMATICS,NAV FROM TELEMATICS,3890
HEATED REAR SEAT(S),HEATED REAR SEAT,1059
LARIAT SERIES ORDER CODE,LARIAT SERIES ORDER CODE,117
LOWER ACCENT TWO-TONE PAINT (STD),LOWER ACCENT TWO-TONE PAINT (S,41
PALE ADOBE METALLIC,PALE ADOBE METALLIC,240
ENTERTAINMENT SYSTEM,ENTERTAINMENT SYS,185
CHROME PKG -INC: 18 CHROME CLAD WHEE,CHROME PKG -INC,49
LARIAT ULTIMATE PKG -INC: PWR SLIDING M,LARIAT ULTIMATE PKG -INC,54
NAVIGATION SYSTEM W/HD RADIO & SATELLITE,NAV,11
BLACK PREMIUM LEATHER 40/CONSOLE/40 FRO,BLACK PREM LEATHER 40/CONSOLE/,10
STOWABLE BED EXTENDER,STOWABLE BED EXTENDER,17
WHITE PLATINUM METALLIC TRI-COAT,WHITE PLATINUM METALLIC TRI-CO,265
LOWER ACCENT TWO-TONE PAINT,LOWER ACCENT TWO-TONE PAINT,59
ROOF CLEARANCE LIGHTS,ROOF CLEARANCE LIGHTS,40
HEATED REAR SEATS,HEATED REAR SEATS,51
AUTUMN RED,AUTUMN RED,4
NAVIGATION SYSTEM W/HD RADIO -INC: AM/F,NAV,6
PWR SLIDING MOONROOF -INC: MAP LIGHTS &,PWR SLIDING MOON -INC,43
TAILGATE STEP -INC: TAILGATE ASSIST ST,TAILGATE STEP -INC,10
KODIAK BROWN METALLIC,KODIAK BROWN METALLIC,129
TOUGHBED SPRAY-IN BEDLINER -INC: TAILGA,TOUGHBED SPRAY-IN BEDLINER -IN,16
ALL-WEATHER FRONT/REAR RUBBER FLOOR MATS,ALL-WEATHER FRONT/REAR RUBBER ,31
VERMILLION RED,VERMILLION RED,9
5TH WHEEL/GOOSENECK HITCH PREP PKG -INC,5TH WHEEL/GOOSENECK HITCH PREP,38
(4) 20 PREMIUM CAST ALUMINUM WHEELS -,(4) 20 PREM CAST ALUMINUM WHEE,54
FRONT/REAR SPLASH GUARDS/MUD FLAPS,FRONT/REAR SPLASH GUARDS/MUD F,35
WHEEL WELL LINER,WHEEL WELL LINER,29
GREEN GEM METALLIC,GREEN GEM METALLIC,34
LARIAT INTERIOR PKG -INC: REAR VIEW CAM,LARIAT INTERIOR PKG -INC,20
RUBY RED METALLIC TINTED,RUBY RED METALLIC TINTED,18
BLUE JEANS METALLIC,BLUE JEANS METALLIC,62
GREEN GEM,GREEN GEM,1
KING RANCH -INC: PALE ADOBE LOWER ACCE,KING RANCH -INC,13
KING RANCH -INC: PALE ADOBE LOWER ACCEN,KING RANCH -INC,14
TUXEDO BLACK,TUXEDO BLACK,19
GOLDEN BRONZE METALLIC,GOLDEN BRONZE METALLIC,1
(4) ALL-WEATHER FLOOR MATS,(4) ALL-WEATHER FLOOR MATS,1
2.0L I4 ECOBOOST ENGINE -INC: 3.07 FINA,2.0L I4 ECOBOOST ENGINE -INC,76
200A EQUIPMENT GROUP ORDER CODE -INC: B,200A EQUIPMENT GROUP ORDER COD,49
CARGO AREA PROTECTOR,CARGO AREA PROTECTOR,10
CLASS II TRAILER TOW PKG -INC: TRAILER,CLASS II TRAILER TOW PKG -INC,46
WHITE PLATINUM TRICOAT,WHITE PLATINUM TRICOAT,21
