VIN,YEAR,MAKE,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,DateInStock,Description,DealerZip,Ext_Color_Generic,Int_Color_Generic,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity,ExtColorHexCode,EngineDisplacementCubicInches
1GT523C84DZ193595,2013,GMC,Sierra 3500HD,Extended Cab Pickup,SLE,TK30953,2,Quicksilver Metallic,,8,6.6L,Automatic,6,0,54120,0,48573,41213,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,D9D9D8,403
1GT524C81DZ143369,2013,GMC,Sierra 3500HD,Extended Cab Pickup,SLT,TK30953,2,Summit White,,8,6.6L,Automatic,5,0,55650,0,50107,41141,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT524C84DZ149859,2013,GMC,Sierra 3500HD,Extended Cab Pickup,SLT,TK30953,2,Summit White,,8,6.6L,Automatic,6,0,55650,0,50107,41148,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT524C84DZ193652,2013,GMC,Sierra 3500HD,Extended Cab Pickup,SLT,TK30953,2,Quicksilver Metallic,,8,6.6L,Automatic,6,0,57665,0,51819,41212,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,D9D9D8,403
1GT423C86DF156822,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SLE,TK30943,4,Quicksilver Metallic,,8,6.6L,Automatic,5,0,52905,0,42242,41247,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,D9D9D8,403
1GT426E81DF156953,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SRW Denali,TK30743,4,Steel Gray Metallic,,8,6.6L,Automatic,5,0,65575,0,58932,41247,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT423C81DF157490,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SLE,TK30943,4,Quicksilver Metallic,,8,6.6L,Automatic,5,0,52905,0,42281,41248,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,D9D9D8,403
1GT423C85DF158884,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SLE,TK30943,4,Quicksilver Metallic,,8,6.6L,Automatic,5,0,52905,0,42281,41250,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,D9D9D8,403
1GT121E85DF152801,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Graphite Blue Metallic,,8,6.6L,Automatic,15,0,59265,0,54042,41263,,59102,Blue,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,303C54,403
1GT12ZC83DF112511,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Work Truck,TK20943,4,Quicksilver Metallic,,8,6.6L,Automatic,15,0,48070,0,44475,41278,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,D9D9D8,403
1GT121C83DF187694,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20943,4,Summit White,,8,6.6L,Automatic,5,0,56850,0,52486,41316,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT121C85DF188930,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Quicksilver Metallic,,8,6.6L,Automatic,5,0,56815,0,52446,41317,,59102,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,D9D9D8,403
1GT121C81DF190609,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Summit White,,8,6.6L,Automatic,5,0,56815,0,52446,41319,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT121C89DF190017,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Steel Gray Metallic,,8,6.6L,Automatic,5,0,57645,0,53178,41319,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT422C89DF192997,2013,GMC,Sierra 3500HD,Crew Cab Pickup,Work Truck,TK30943,4,Summit White,,8,6.6L,Automatic,6,0,49606,0,45140,41324,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,EDEDED,403
1GT120C8XDF160115,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLE,TK20743,4,Sonoma Red Metallic,,8,6.6L,Automatic,15,0,53835,0,50710,41326,,59102,Red,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,771B27,403
1GT221C83DZ299253,2013,GMC,Sierra 2500HD,Extended Cab Pickup,SLT,TK20953,2,Steel Gray Metallic,,8,6.6L,Automatic,5,0,54790,0,50544,41327,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT121C83DF192300,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20943,4,Summit White,,8,6.6L,Automatic,5,0,56850,0,52447,41323,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT423C84DF192489,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SLE,TK30943,4,Summit White,,8,6.6L,Automatic,5,0,55210,0,49811,41323,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,EDEDED,403
1GT120C83DF100693,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLE,TK20743,4,Steel Gray Metallic,,8,6.6L,Automatic,15,0,54640,0,49315,41339,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,8F8D78,403
1GT120C83DF118191,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLE,TK20743,4,Summit White,,8,6.6L,Automatic,15,0,54030,0,48662,41354,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,EDEDED,403
1GT322C80DZ326175,2013,GMC,Sierra 3500HD,Regular Cab Pickup,Work Truck,TK30903,2,Summit White,,8,6.6L,Automatic,5,0,44943,0,40791,41353,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,EDEDED,403
1GT125E85DF189080,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Denali,TK20743,4,Summit White,,8,6.6L,Automatic,15,0,63990,0,59602,41360,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT323C89DF211937,2013,GMC,Sierra 3500HD,Regular Cab Pickup,SLE,TK30903,2,Summit White,,8,6.6L,Automatic,5,0,47395,0,42708,41359,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,EDEDED,403
1GT02ZC82DF212840,2013,GMC,Sierra 2500HD,Regular Cab Pickup,Work Truck,TK20903,2,Summit White,,8,6.6L,Automatic,29,0,43285,0,40238,41361,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,EDEDED,403
1GT426C85DF215618,2013,GMC,Sierra 3500HD,Crew Cab Pickup,Denali,TK30943,4,Summit White,,8,6.6L,Automatic,5,0,63755,0,57278,41368,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT426E84DF215526,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SRW Denali,TK30743,4,Summit White,,8,6.6L,Automatic,5,0,63965,0,57456,41368,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT02ZC86DF216390,2013,GMC,Sierra 2500HD,Regular Cab Pickup,Work Truck,TK20903,2,Summit White,,8,6.6L,Automatic,5,0,42935,0,39833,41369,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,EDEDED,403
1GT121E86DF162771,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Sonoma Red Metallic,,8,6.6L,Automatic,15,0,58525,0,53043,41373,,59102,Red,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,771B27,403
1GT125E8XDF217598,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Denali,TK20743,4,Summit White,,8,6.6L,Automatic,5,0,65470,0,59989,41373,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GT125E8XDF218380,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Denali,TK20743,4,BLACK ONYX,,8,6.6L,Automatic,5,0,65415,0,59941,41374,,59102,,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,,403
1GT12ZC81DF218701,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Work Truck,TK20743,4,Summit White,,8,6.6L,Automatic,5,0,47636,0,44150,41374,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,EDEDED,403
1GD322C88DF211238,2013,GMC,Sierra 3500HD,Regular Cab Chassis-Cab,Work Truck,TK31003,2,Summit White,,8,6.6L,Automatic,15,0,45062,0,42346,41376,,59102,White,,,V,Direct Injection,Turbo Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,EDEDED,403
1GT02ZC84DZ344853,2013,GMC,Sierra 2500HD,Regular Cab Pickup,Work Truck,TK20903,2,Steel Gray Metallic,,8,6.6L,Automatic,5,0,44378,0,41089,41375,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,8F8D78,403
1GT02ZC87DZ345673,2013,GMC,Sierra 2500HD,Regular Cab Pickup,Work Truck,TK20903,2,Summit White,,8,6.6L,Automatic,5,0,44378,0,41089,41375,,59102,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,EDEDED,403
1GT121C86DF157900,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Steel Gray Metallic,,8,6.6L,Automatic,15,0,56820,0,52664,41376,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT424E86DF219484,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SRW SLT,TK30743,4,Steel Gray Metallic,,8,6.6L,Automatic,5,0,64945,0,58150,41375,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT125E89DF220976,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Denali,TK20743,4,Steel Gray Metallic,,8,6.6L,Automatic,5,0,65470,0,59989,41379,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT424C82DF221204,2013,GMC,Sierra 3500HD,Crew Cab Pickup,SLT,TK30943,4,Steel Gray Metallic,,8,6.6L,Automatic,5,0,59085,0,53168,41379,,59102,Gray,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,8F8D78,403
1GT121C88DF150205,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Sonoma Red Metallic,,8,6.6L,Automatic,15,0,57525,0,51715,41383,,59102,Red,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,771B27,403
1GT121C89DF224246,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743-1,4,BLACK ONYX,,8,6.6L,Automatic,5,0,58445,0,53725,41383,,59102,,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,,403
1GT125E89DF224770,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Denali,TK20743,4,BLACK ONYX,,8,6.6L,Automatic,5,0,65415,0,59941,41386,,59102,,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,,403
1GT120C80BF112295,2011,GMC,Sierra 2500HD,Crew Cab Pickup,SLE,TK20743,4,,,8,6.6L,Automatic,455,0,0,0,0,40463,,59102,,,,V,DI,Turbo-Charged Diesel V8 6.6L/403,6,6-Speed HD Automatic w/OD,4WD,Diesel Fuel,,,6,,403
1GC3K0C83DF183051,2013,Chevrolet,Silverado 3500HD,Regular Cab Pickup,LT,CK30903,2,Black,Ebony,8,6.6L,Automatic,9,47730,47730,0,42072,41317,,14420,Black,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,0,403
1GC4K1C86DF166027,2013,Chevrolet,Silverado 3500HD,Crew Cab Pickup,LTZ,CK30943,4,Black,Ebony,8,6.6L,Automatic,9,62445,62445,0,55600,41278,,14420,Black,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,0,403
1GT121E88DF158950,2013,GMC,Sierra 2500HD,Crew Cab Pickup,SLT,TK20743,4,Mocha Steel Metallic,Ebony,8,6.6L,Automatic,239,58615,58615,0,53305,41282,,14420,Brown,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,645953,403
1GT125E8XDF178897,2013,GMC,Sierra 2500HD,Crew Cab Pickup,Denali,TK20743,4,Summit White,COCO,8,6.6L,Automatic,8,63145,63145,0,57609,41306,,14420,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,EDEDED,403
1GC1KXC85DF181690,2013,Chevrolet,Silverado 2500HD,Crew Cab Pickup,LT,CK20743,4,Black,Ebony,8,6.6L,Automatic,27,53310,53310,0,47566,41373,**6.6L v8 Turbo Diesel Steering Wheel Controls Bluetooth Connectivity Rear Vision Camera Camper 5th Wheel Trailer Wiring Snow Plow Prep Package 18 Polished Aluminum Wheels 18 All weather tires!!**,14420,Black,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,0,403
1GC2KXC85CZ250041,2012,Chevrolet,Silverado 2500HD,Extended Cab,LT,CK20753,2,Summit White,,8,6.6L,Automatic,0,0,0,48500,0,40997,,77079,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed HD Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
1GC2KVC89DZ185572,2013,Chevrolet,Silverado 2500HD,Extended Cab,Work Truck,CK20753,2,Summit White,Dark Titanium,8,6.6L,Automatic,0,46357,46357,42592,0,41206,,77079,White,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
1GC2KVC80DZ216885,2013,Chevrolet,Silverado 2500HD,Extended Cab,Work Truck,CK20753,2,Summit White,Dark Titanium,8,6.6L,Automatic,0,46357,46357,42592,0,41246,,77079,White,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
1GC1KYE88DF130333,2013,Chevrolet,Silverado 2500HD,Crew Cab,LTZ,CK20743,4,Silver Ice Metallic,,8,6.6L,Automatic,8,58630,58630,53195,0,41312,,77079,Silver,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,B3B7B6,403
1GC4K1C87DF135787,2013,Chevrolet,Silverado 3500HD,Crew Cab,LTZ,CK30943,4,Black,,8,6.6L,Automatic,0,61670,61670,55098,0,41296,,77079,Black,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,0,403
1GC1KXC86DF135172,2013,Chevrolet,Silverado 2500HD,Crew Cab,LT,CK20743,4,Black,,8,6.6L,Automatic,0,56810,56810,51968,0,41324,,77079,Black,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,0,403
1GC4K1C84DF191038,2013,Chevrolet,Silverado 3500HD,Crew Cab,LTZ,CK30943,4,Black,Ebony,8,6.6L,Automatic,5,63120,63120,56265,0,41338,,77079,Black,Black,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,5,0,403
1GC1KVE82DF198125,2013,Chevrolet,Silverado 2500HD,Crew Cab,Work Truck,CK20943,4,Blue Topaz Metallic,Dark Titanium,8,6.6L,Automatic,0,50055,50055,45941,0,41347,,77079,Blue,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,14184F,403
1GC2KVC86DZ229379,2013,Chevrolet,Silverado 2500HD,Extended Cab,Work Truck,CK20953,2,Summit White,,8,6.6L,Automatic,0,47392,47392,43752,0,41355,,77079,White,,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
1GC1KVE89DF198817,2013,Chevrolet,Silverado 2500HD,Crew Cab,Work Truck,CK20943,4,Blue Topaz Metallic,Dark Titanium,8,6.6L,Automatic,0,50055,50055,45941,0,41373,,77079,Blue,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,14184F,403
1GC2KVC89DZ327192,2013,Chevrolet,Silverado 2500HD,Extended Cab,Work Truck,CK20953,2,Summit White,Dark Titanium,8,6.6L,Automatic,0,46987,46987,43176,0,41375,,77079,White,Gray,,V,Direct Injection,Turbocharged Diesel V8 6.6L/403,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,403
